[09:45:49]===============================================================
[09:45:49]     START MEASURE :: 아이스 아메리카노
[09:47:48]  START OUTLET         : 0.12 sec
[09:47:48]  START OUTLET         : 0.09 sec
[09:47:48]  START OUTLET         : 0.13 sec
[09:47:49]  START OUTLET         : 0.06 sec
[09:47:49]  START OUTLET         : 0.14 sec
[09:47:49]  START OUTLET         : 0.07 sec
[09:47:49]  START OUTLET         : 0.13 sec
[09:47:49]  START OUTLET         : 0.07 sec
[09:47:49]  START OUTLET         : 0.13 sec
[09:47:49]  START OUTLET         : 0.07 sec
[09:47:49]  START OUTLET         : 0.13 sec
[09:47:49]  START OUTLET         : 0.08 sec
[09:47:49]  START OUTLET         : 0.13 sec
[09:47:50]  START OUTLET         : 0.07 sec
[09:47:50]  START OUTLET         : 0.13 sec
[09:47:50]  START OUTLET         : 0.07 sec
[09:47:50]  START OUTLET         : 0.15 sec
[09:47:50]  START OUTLET         : 0.06 sec
[09:47:50]  START OUTLET         : 0.14 sec
[09:47:50]  START OUTLET         : 0.07 sec
[09:47:50]  START OUTLET         : 0.14 sec
[09:47:50]  START OUTLET         : 0.07 sec
[09:47:50]  START OUTLET         : 0.11 sec
[09:47:51]  START OUTLET         : 0.08 sec
[09:47:51]  START OUTLET         : 0.13 sec
[09:47:51]  START OUTLET         : 0.07 sec
[09:47:51]  START OUTLET         : 0.15 sec
[09:47:51]  START OUTLET         : 0.05 sec
[09:47:51]  START OUTLET         : 0.13 sec
[09:47:51]  START OUTLET         : 0.07 sec
[09:47:51]  START OUTLET         : 0.13 sec
[09:47:51]  START OUTLET         : 0.08 sec
[09:47:51]  START OUTLET         : 0.12 sec
[09:47:52]  START OUTLET         : 0.07 sec
[09:47:52]  START OUTLET         : 0.13 sec
[09:47:52]  START OUTLET         : 0.07 sec
[09:47:52]  START OUTLET         : 0.12 sec
[09:47:52]  START OUTLET         : 0.08 sec
[09:47:52]  START OUTLET         : 0.13 sec
[09:47:52]  START OUTLET         : 0.07 sec
[09:47:52]  START OUTLET         : 0.13 sec
[09:47:52]  START OUTLET         : 0.09 sec
[09:47:52]  START OUTLET         : 0.11 sec
[09:47:53]  START OUTLET         : 0.08 sec
[09:47:53]  START OUTLET         : 0.13 sec
[09:47:53]  START OUTLET         : 0.07 sec
[09:47:53]  START OUTLET         : 0.16 sec
